"file_id","input_path","output_path","score","H1","H2","H3","H4","H5","H6","H7","H8","H9","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20"
"Group 1.jpg","inputs\Group 1.jpg","outputs\CheckedOMRs\Group 1.jpg","0","","45","7","","89","89","","7","3","","","A","","C","E","AC","ACDE","DE","","","A","","C","D","ACD","","BE","A",""
"Group 1.jpg","inputs\Group 1.jpg","outputs\CheckedOMRs\Group 1.jpg","0","","45","7","","89","89","","7","3","","","A","","C","E","AC","ACDE","DE","","","A","","C","D","ACD","","BE","A",""
"Group 1.jpg","inputs\Group 1.jpg","outputs\CheckedOMRs\Group 1.jpg","0","2","4","5","5","4","1","0","2","","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E"
"Group 1.jpg","inputs\Group 1.jpg","outputs\CheckedOMRs\Group 1.jpg","0","2","4","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E"
"Group 1.jpg","inputs\Group 1.jpg","outputs\CheckedOMRs\Group 1.jpg","0","2","4","5","5","4","1","0","","","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E"
"Group 1.jpg","inputs\Group 1.jpg","outputs\CheckedOMRs\Group 1.jpg","0","2","4","5","5","4","1","0","2","","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E"
"Group 1.jpg","inputs\Group 1.jpg","outputs\CheckedOMRs\Group 1.jpg","0","2","4","5","5","4","1","0","2","","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E"
"Group 1.jpg","inputs\Group 1.jpg","outputs\CheckedOMRs\Group 1.jpg","0","2","4","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E"
"Group 1.jpg","inputs\Group 1.jpg","outputs\CheckedOMRs\Group 1.jpg","0","2","4","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E","A","B","C","D","E"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","0123456789","0123456789","0123456789","5","4","1","0","2","3","A","B","C","D","E","A","B","C","","","","","","","","","","","",""
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","","","5","4","1","0","2","3","A","B","C","D","E","A","B","C","","","","","","","","","","","",""
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","56","56","","","","012345689","0123","","","BDE","E","E","B","E","","","C","ACE","","","","","","ADE","A","A","","D",""
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","4","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","","","","","","","","","","","",""
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","4","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","","","","","","","","","","","",""
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","4","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","","","","","","","","","","","",""
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","456789","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","ABCD","ABCD","","","","","","","","","AB","AB"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","456789","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","ABCD","ABCD","","","","","","","","","AB","AB"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","4","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","","","","","","","","","AB","AB","AB","A"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","","4","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","","","","","","","","","AB","AB","AB","A"
"scan.jpg","inputs\scan.jpg","outputs\CheckedOMRs\scan.jpg","0","2","4","5","5","4","1","0","2","3","A","B","C","D","E","A","B","C","","","","","","","","","","","",""
